ID;DATE;TYPE;KIA;WIA;CITY;REGION;COUNTRY;DETAILS;GROUP;REMARKS;TEXT;FORMATTED_ADDRESS;LOCATION_LAT;LOCATION_LNG;LOCATION_CITY;LOCATION_REGION;LOCATION_COUNTRY;LOCATION_TYPE
1;09/12/2015;CACHE/FOUND;0;0;Kramatorsk;DONETSK;UKRAINE;IEDs were found and disposed by Combat Engineers;;TBC if they were just landmines;IEDs were found and disposed by Combat Engineers TBC if they were just landmines;Kramatorsk, Donetsk Oblast, Ukraine;48,738967;37,58435;Kramatorsk;Donetsk Oblast;Ukraine;APPROXIMATE
2;09/12/2015;UNKNOWN;0;0;Kharkiv;KHARKIV;UKRAINE;An IED was blown up in front of a ROSHEN shop;;Shopping Center ;An IED was blown up in front of a ROSHEN shop Shopping Center ;Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
3;08/12/2015;UNKNOWN;0;0;Kiev;KIEV;UKRAINE;A device was detonated against a restaurant (LKafa);;Boulevard Lesi Ukrainian;A device was detonated against a restaurant (LKafa) Boulevard Lesi Ukrainian;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
4;07/12/2015;HOAX/FALSE;0;0;Ivano-Frankivsk;IVANO-FRANKIVSK;UKRAINE;Call reporting IED - First Responders action - no explosive;;Central Metro/bus station;Call reporting IED - First Responders action - no explosive Central Metro/bus station;Ivano-Frankivsk, Ivano-Frankivs'ka oblast, Ukraine;48,922633;24,711117;Ivano-Frankivsk;Ivano-Frankivs'ka oblast;Ukraine;APPROXIMATE
5;02/12/2015;CACHE/FOUND;0;0;Krasnoarmiisk;DONETSK;UKRAINE;An IED was found and disposed by EOD;;;An IED was found and disposed by EOD ;Krasnoarmiis'k, Donetsk Oblast, Ukraine;48,282193;37,1847804;Krasnoarmiis'k;Donetsk Oblast;Ukraine;APPROXIMATE
6;02/12/2015;CACHE/FOUND;0;0;Avdeevka;DONETSK;UKRAINE;A cache with 3 IEDs with TNT was found and cleared;;Inside an abandoned house;A cache with 3 IEDs with TNT was found and cleared Inside an abandoned house;Avdiivka, Donetsk Oblast, Ukraine;48,136596;37,7491335;Avdiivka;Donetsk Oblast;Ukraine;APPROXIMATE
7;02/12/2015;UNKNOWN;0;0;Uzhgorod;ZAKARPATS'KA;UKRAINE;An IED was detonated against a store in Franko Street;;;An IED was detonated against a store in Franko Street ;Uzhhorod, Zakarpats'ka oblast, Ukraine;48,6208;22,287883;Uzhhorod;Zakarpats'ka oblast;Ukraine;APPROXIMATE
8;30/11/2015;CACHE/FOUND;0;0;Mariupol ;DONETSK;UKRAINE;Several landmines, 800 gr of TNT and electric detonators were found;;;Several landmines, 800 gr of TNT and electric detonators were found ;Mariupol', Donetsk Oblast, Ukraine;47,097133;37,543367;Mariupol';Donetsk Oblast;Ukraine;APPROXIMATE
9;28/11/2015;UNKNOWN;0;0;Avdotyino;DONETSK;UKRAINE;A device was blown up damaging a power substation;;;A device was blown up damaging a power substation ;Avdotyino, Donetsk Oblast, Ukraine;47,92334;37,857918;Avdotyino;Donetsk Oblast;Ukraine;APPROXIMATE
10;27/11/2015;CACHE/FOUND;0;0;Shchastya;LUHANSK ;UKRAINE;A cache was discovered: weapons, 1 Kg TNT & electric detonators;;Near a pump station;A cache was discovered: weapons, 1 Kg TNT & electric detonators Near a pump station;Shchastya, Luhans'ka oblast, Ukraine;48,737247;39,2311974;Shchastya;Luhans'ka oblast;Ukraine;APPROXIMATE
