DATE,TYPE,KIA,WIA,CITY,REGION
2015 DEC 09,CACHE/FOUND,0,0,Kramatorsk,DONETSK
2015 DEC 09,UNKNOWN,0,0,Kharkiv,KHARKIV
2015 DEC 08,UNKNOWN,0,0,Kiev,KIEV
2015 DEC 07,HOAX/FALSE,0,0,Ivano-Frankivsk,IVANO-FRANKIVSK
2015 DEC 02,CACHE/FOUND,0,0,Krasnoarmiisk,DONETSK
2015 DEC 02,CACHE/FOUND,0,0,Avdeevka,DONETSK
2015 DEC 02,UNKNOWN,0,0,Uzhgorod,ZAKARPATS'KA
2015 NOV 30,CACHE/FOUND,0,0,Mariupol ,DONETSK
2015 NOV 28,UNKNOWN,0,0,Avdotyino,DONETSK
2015 NOV 27,CACHE/FOUND,0,0,Shchastya,LUHANSK 
2015 NOV 26,UNKNOWN,0,0,Simferopol,CRIMEA
2015 NOV 26,HOAX/FALSE,0,0,Kiev,KIEV
2015 NOV 26,CACHE/FOUND,0,0,Klisiivka,DONETSK
2015 NOV 25,CACHE/FOUND,0,0,Shchastya,LUHANSK 
2015 NOV 24,CACHE/FOUND,0,0,Bovrove,LUHANSK 
2015 NOV 22,UNKNOWN,0,0,TBD,KHERSON
2015 NOV 21,CACHE/FOUND,0,0,Kryvyi Rih,DNIPROPETROVSK
2015 NOV 20,UNKNOWN,0,0,TBD,KHERSON
2015 NOV 19,CACHE/FOUND,0,0,Druzkivci,DONETSK
2015 NOV 18,CACHE/FOUND,0,0,Mariupol ,DONETSK
2015 NOV 18,HOAX/FALSE,0,0,Kiev,KIEV
2015 NOV 17,HOAX/FALSE,0,0,Kiev,KIEV
2015 NOV 16,CACHE/FOUND,0,0,Shchastya,LUHANSK 
2015 NOV 16,HOAX/FALSE,0,0,Kiev,KIEV
2015 NOV 16,CACHE/FOUND,0,0,Zakarpatye,DONETSK
2015 NOV 15,HOAX/FALSE,0,0,Chernihiv,CHERNIHIV
2015 NOV 13,UNKNOWN,0,0,Zhytomir,ZHYTOMYR
2015 NOV 13,HOAX/FALSE,0,0,Kiev,KIEV
2015 NOV 13,UNKNOWN,0,0,Uzhgorod,ZAKARPATS'KA
2015 NOV 13,CACHE/FOUND,0,0,Shchastya,LUHANSK 
2015 NOV 12,UNKNOWN,2,0,Marinka,DONETSK
2015 NOV 12,CACHE/FOUND,0,0,Mistky,LUHANSK 
2015 NOV 10 ,CACHE/FOUND,0,0,Shchastya,LUHANSK 
2015 NOV 10,CACHE/FOUND,0,0, Volnovakha,DONETSK
2015 NOV 09,PROJECTED,1,0,Kiev,KIEV
2015 NOV 07,CACHE/FOUND,0,0,TBD,DONETSK
2015 NOV 06,CACHE/FOUND,0,0,Odessa,ODESSA
2015 NOV 04,CACHE/FOUND,0,0,Shchastya,LUHANSK 
2015 NOV 03,CACHE/FOUND,0,0,Pobeda,LUHANSK
2015 NOV 01,UNKNOWN,0,2,Volnovakha,DONETSK
2015 OCT 31,UNKNOWN,0,0,Svatovo,LUHANSK
2015 OCT 29,CACHE/FOUND,0,0,Mariupol ,DONETSK
2015 OCT 28,CACHE/FOUND,0,0,Marinka,DONETSK
2015 OCT 27,CACHE/FOUND,0,0,Kharkiv,KHARKIV
2015 OCT 26,CACHE/FOUND,0,0,Artemivsk,DONETSK
2015 OCT 24,CACHE/FOUND,0,0,Slavne,DONETSK
2015 OCT 22,CACHE/FOUND,0,0,Novokramatorsk,DONETSK
2015 OCT 22,CACHE/FOUND,0,0,Zaceive,DONETSK
2015 OCT 22,UNKNOWN,0,1,Zolote,LUHANSK
2015 OCT 21,CACHE/FOUND,0,0,Verkhnio Toretske,DONETSK
2015 OCT 21,UNKNOWN,0,1,Mikolayiv,MIKOLAYIV
2015 OCT 20,HOAX/FALSE,0,0,Mariupol ,DONETSK
2015 OCT 20,CACHE/FOUND,0,0,Shchastya,LUHANSK
2015 OCT 19,CACHE/FOUND,0,0,Kryvyi Rih,DNIPROPETROVSK
2015 OCT 19,CACHE/FOUND,0,0,Mezhova,DONETSK
2015 OCT 18,CACHE/FOUND,0,0,Sergueevka,DONETSK
2015 OCT 17,UNKNOWN,0,0,Kiev,KIEV
2015 OCT 17,UNKNOWN,0,0,Kherson,KHERSON
2015 OCT 16,CACHE/FOUND,0,0,Artemivsk,DONETSK
2015 OCT 16,CACHE/FOUND,0,0,Kurakhovo,DONETSK
2015 OCT 15,CACHE/FOUND,0,0,Maryinsky,DONETSK
2015 OCT 13,CACHE/FOUND,0,0,Marinka,DONETSK
2015 OCT13,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK
2015 OCT 12,UNKNOWN,1,0,Krivoy Rog,DNIPROPETROVSK
2015 OCT 07,UNKNOWN,0,0,Lviv,LVIV
2015 OCT 07,UNKNOWN,0,0,Kharkiv,KHARKIV
2015 OCT 07,CACHE/FOUND,0,0,Aslanove,DONETSK
2015 OCT 07,UNKNOWN,0,0,Bilhorod Dnistrovsky,ODESSA
2015 OCT 07,CACHE/FOUND,0,0,Bila Tserkva,KIEV
2015 OCT 03,CACHE/FOUND,0,0,Popasna,LUHANSK
2015 OCT 05,HOAX/FALSE,0,0,Kharkiv,KHARKIV
2015 OCT 03,CACHE/FOUND,0,0,Dzerzhinsk,DONETSK
2015 OCT 02,VOIED,1,0,Stanytsia Luhanska,LUHANSK 
2015 OCT 01,CACHE/FOUND,0,0,Vinnytsia,VINNYTSIA
2015 OCT 01,CACHE/FOUND,0,0,Kurakhovo,DONETSK
2015 SEP 30,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK
2015 SEP 28,UNKNOWN,0,1,Kiev,KIEV
